n|libéllus, libéllī|m|little book|libel, libelous; diminutive of liber
relativePronoun|quī, quae, quod|who, which, what, that|qui vive, quorum|relativePronoun
adj|caécus, caéca, caécum|blind|caecum, caecal, caecilian
adj|lévis, léve|light; easy; slight, trivial|levity lever, levy, levee, Levant, leaven, legerdemain, alleviate, elevate, relevant, irrelevant, relieve
conj|aut|or
adv|cíto|quickly|excite, incite, recite; cf. recitō
adv|quóque|also, too||adverb
v|admíttō, admíttere, admī́sī, admíssum|to admit, receive, let in|admission, admissible, inadmissible, admittedly
v|coépī, coepísse, coéptum|began, defective verb used in the perfect system only; for present system prefer incipiō
v|cúpiō, cúpere, cupī́vī, cupī́tum|to desire, wish, long for|Cupid, cupidity, concupiscence, covet, covetous, Kewpie doll, cf. cupiditās
v|dḗleō, dēlḗre, dēlḗvī, dēlḗtum|to destroy, wipe out, erase|delete, indelible
v|dēsī́derō, dēsīderā́re, dēsīderā́vī, dēsīderā́tum|to desire, long for, miss|desiderate, desideratum, desiderative, desire, desirous
v|incípiō, incípere, incḗpī, incéptum|to begin|incipient, inception; cf. capiō
v|nā́vigō, nāvigā́re, nāvigā́vī, nāvigā́tum|to sail, navigate|navigation, navigable; cf. nauta
v|néglegō, neglégere, neglḗxī, neglḗctum|to neglect, disregard|negligent, negligee, negligible
v|récitō, recitā́re, recitā́vī, recitā́tum|to read aloud, recite|recital, recitation, recitative
