n|cása, cásae|f|house, cottage, hut|casino
n|caúsa, caúsae|f|cause, reason; case, situation|accuse, because, excuse
n|caúsā, abl. with a preceding gen.|f|for the sake of, on account of|accuse, because, excuse
n|fenéstra, fenéstrae|f|window|fenestrated, fenestration, fenestella, defenestration
n|fī́nis, fī́nis|m|end, limit, boundary; purpose|affinity, confine, define, final, finale, finance, fine, finesse, finial, finicky, finish, finite, infinite, paraffin, refine
n|fī́nēs, fī́nium|f|boundaries, territory|affinity, confine, define, final, finale, finance, fine, finesse, finial, finicky, finish, finite, infinite, paraffin, refine
n|gēns, géntis|f|clan, race, nation, people|gentile, gentle, genteel, gentry; cf genus
n|múndus, múndī|m|world, universe|mundane, extramundane, demimonde
n|nā́vis, nā́vis|f|ship, boat|naval, navy, navigate, nave; cf nāvigāre, nauta
n|sálūs, salū́tis|f|health, safety; greeting|salubrious, salutary, salutation, salute, salutatorian, salutatory; cf. salveō, salvus
n|Trṓia, Trṓiae|f|Troy|Trojan
n|vīcī́nus, vīcī́nī|m|neighbor|vicinity, vicinal, vicinage
n|vīcī́na, vīcī́nae|f|neighbor|vicinity, vicinal, vicinage
n|vúlgus, vúlgī|n (sometimes m)|the common people, mob, rabble|vulgar, vulgarity, vulgarize, vulgate, divulge
adj|ásper, áspera, ásperum|rough, harsh|asperity, exasperate, exasperation
conj|átque (before consonants, vowels, and h) / ac (before non-h consonants only)|and also, and even, and in fact||conjugation
adv|íterum|again, a second time|iterate, iterative, reiterate, reiteration|adverb
v|contíneō, continḗre, contínuī, conténtum|to hold together, contain, keep, enclose, restrain|content, discontent, malcontent, continual; cf. teneō
v|iúbeō, iubḗre, iússī, iússum|to bid, order, command|jussive
v|labṓrō, labōrā́re, labōrā́vī, labōrā́tum|to labor; be in distress|laboratory, laborer, belabor; cf labor
v|rápiō, rápere, rápuī, ráptum|to seize, snatch, carry away|rapacious, rapid, rapine, rapture, ravage, ravish; cf. ēripere, to snatch away
v|relínquō, relínquere, relī́quī, relíctum|to leave behind, leave, abandon, desert|relinquish, reliquary, relict, relic, delinquent, dereliction
v|scíō, scī́re, scī́vī, scī́tum|to know|science, scientific, conscience, conscious, prescience, scilicet; cf. scientia, nescīre, to not know, be ignorant of
v|tángō, tángere, tétigī, tā́ctum|to touch|tangent, tangible, tact, tactile, contact, contagious, contiguous, contingent, integer, taste, tax
