ablCaseUse|ablative absolute|1) noun/pronoun in abl (usu. first) + participial phrase words, if any (usu. next) + participle in abl (usu. last) OR noun in abl + noun/adj in abl w/ implied present participle of sum/esse, loosely connected to the rest of the sentence and usu. set off by commas, with noun *not* referred to in the attached clause as with a standard participial phrase|potentially literally, but generally better to transform the phrase to a clause with appropriate tense and a conjunction, usually "when," "since," or "although."
datCaseUse|dative of agent|no preposition and used to express personal agency within the passive periphrastic|almost always as an active construction indicating necessary, obligatory, or appropriate action.
inseparable prefix|re-/red-|again, back|recipiō; recede, receive, remit, repeat, repel, revert|inseparablePrefix
inseparable prefix|sē-|apart, aside|sēdūcō|inseparablePrefix
inseparable prefix|in-/im-/il-/ir-|not, un-|incertus|inseparablePrefix
inseparable prefix|dis-/dif-/dī-|apart, away, not|discēdō and difficilis|inseparablePrefix
n|Carthā́gō, Carthā́ginis|f|Carthage|city in North Africa
n|fā́bula, fā́bulae|f|story, tale;play|fable, fabulous, confabulate; cf. fāma
n|imperā́tor, imperātṓris|m|general, commander-in-chief, emperor|cf. imperium and imperāre, to command
n|impérium, impériī|n|power to command, supreme power, authority, command, control|imperial, imperialism, imperious, empire
n|perfúgium, perfúgiī|n|refuge, shelter|cf fugiō
n|sérvus, sérvī|m|slave|serf, servant, servile, service
n|sérva, sérvae|f|slave|serf, servant, servile, service
n|sōlā́cium, sōlā́ciī|n|comfort, relief|solace, consolation, inconsolable
n|vúlnus, vúlneris|n|wound|vulnerable, vulnerability, invulnerable
conj + indic|ut|as, just as, when||conjunction
adv|pósteā|afterwards|cf post|adverb
v|accípiō, accípere, accḗpī, accéptum|to take (to onés self), receive, accept|acceptable, acceptance
v|excípiō, excípere, excḗpī, excéptum|to take out, except; take, receive, capture|exception, exceptionable
v|recípiō, recípere, recḗpī, recéptum|to take back, regain; admit, receive|recipe, R_x, receipt, recipient, receptacle, reception
v|péllō, péllere, pépulī, púlsum|to strike, push; drive out, banish|compel, compulsion, dispel, impel, propel, repel, pulsate, pulse
v|expéllō, expéllere, éxpulī, expúlsum|to drive out, expel, banish|expulsion
v|nā́rrō, nārrā́re, nārrā́vī, nārrā́tum|to tell, report, narrate|narration, narrative, narrator
v|quaérō, quaérere, quaesī́vī, quaesī́tum|to seek, look for, strive for; ask, inquire, inquire into|acquire, conqure, exquisite, inquire, inquest, inquisition, perquisite, query, quest, question, request, require
v|rīdeō, rīdḗre, rī́sī, rī́sum|to laugh, laugh at|deride, derisive, ridicule, ridiculous, risible; cf. rīdiculus, laughable
