n|hónor, honṓris|m|honor, esteem; public office|honorable, honorary, honorific, dishonor, honest
adj|cḗterī, cḗterae, cḗtera|the remaining, the rest, the other, all the others|etc. = et cetera, cf. alius
adj|quántus, quánta, quántum|how large, how great, how much|quantify, quantity, quantitative, quantum
adj|rīdículus, rīdícula, rīdículum|laughable, ridiculous|ridicule; cf. rīdeō
adj|vī́vus, vī́va, vī́vum|alive, living|vivid, vivify, convivial; cf. vīvō, vīta
n|fūr, fūris|m or f|thief|cf fūrtīvus, fūrtim
adj|fūrtī́vus, fūrtī́va, fūrtī́vum|secret, furtive|cf fūr, fūrtim
adv|fū́rtim|stealthily, secretly|furtively, ferret; cf fūr, fūrtīvus|adv
adv|mox|soon||adv
adv|prī́mō|at first, at the beginning|cf. prīmus|adv
adv|repénte|suddenly||adv
adv|únde|whence, from what or which place, from which, from whom||adv
conj|útrum ... an|whether ... or||conj
v|bíbō, bíbere, bíbī|to drink|bib, bibulous, imbibe, wine-bibber, beverage
v|nṓscō, nṓscere, nṓvī, nōtum OR cognṓscō, cognṓscere, cognṓvī, cognitum|to become acquainted with, learn, recognize; in perf. tenses, know|cognizance, cognition, connoisseur, incognito, reconnaissance, reconnoiter, notice, notify, notion, notorious
v|comprehéndō, comprehéndere, comprehéndī, comprehḗnsum|to grasp, seize, arrest; comprehend, understand|comprehensive, comprehensible
v|sūmō, sūmere, sūmpsī, sūmptum|take, take up, or assume
v|cōnsū́mō, cōnsū́mere, cōnsū́mpsī, cōnsū́mptum|to consume, use up|consumer, consumption, assume, assumption, presume, presumption, presumptuous, resume, resumption; cf. sūmere
v|dúbitō, dubitā́re, dubitā́vī, dubitā́tum|to doubt, hesitate|dubious, dubitable, doubtful, doubtless, indubitable, undoubtedly
v|expṓnō, expṓnere, expósuī, expósitum|to set forth, explain, expose|exponent, exposition, expository, expound
v|mínuō, minúere, mínuī, minū́tum|to lessen, diminish|cf. minor, minus, minimus; diminish diminutive, minuet, minute, minutiae, menu
v|rógō, rogā́re, rogā́vī, rogā́tum|to ask|interrogate, abrogate, arrogant, derogatory, prerogative, surrogate
