caseUse|dummodo as (subord.) conj. case use|proviso clause|1. dummodo (or certain other words), 2. perhaps with adverb not other than nē, 3. expressing a provisional circumstance|"provided that/as long as" + indicative
n|custṓdia, custṓdiae (sg)|f|protection, custody|custodian
n|custṓdiae, custṓdiārum|f|guards|custodian
n|exércitus, exércitūs|m|army|exercise
n|paupértās, paupertā́tis|f|poverty, humble circumstances|cf pauper, gen. pauperis
adj|dī́ves, gen. dī́vitis or dī́tis|rich, wealthy|Dives; cf. dīvitiae
adj|pār, gen. páris}} takes the {{c2::dative case(s) and means|equal, like|par, pair, parity, peer, peerless, disparage, disparity, umpire, nonpareil
adj|paúper, gen. paúperis|of small  means, poor|pauper, poverty, impoverished
conj+subj|dúmmodo|provided that, so long as||conj
v|mā́lō, mā́lle, mā́luī|to want (something) more, instead; prefer
v|nṓlō, nṓlle, nṓluī|to not ... wish, be unwilling|nolo contendere, nol. pros., nolens volens
v|páteō, patḗre, pátuī|to be open, lie open; be accessible; be evident|patent, pātent, patency; cf. patefacere
v|praébeō, praebḗre, praébuī, praébitum|to offer, provide|provender
v|prṓmittō, prōmíttere, prōmī́sī, prōmíssum|to send forth; promise|promissory, compromise
v|vólō, vélle, vóluī|to wish, to want, be willing, will|volition, voluntary, volunteer, volitive, voluptuous, benevolent, malevolent
