n|inítium, inítiī|n|beginning, commencement|initial, initiate, initiation
n|ops, ópis|f|help, aid|opulent, opulence; cf. cōpia, from con- + ops
n|ópēs, ópum|f|power, resources, wealth|opulent, opulence
n|philósophus, philósophī|m|philosopher|philosophical; cf. philosophia
n|philósopha, philósophae|f|philosopher|philosophical; cf. philosophia
n|plēbs, plḗbis|f|the common people, populace, plebeians|plebs, plebe, plebeian, plebiscite
n|sāl, sális|m|salt; wit|salad, salami, salary, saline, salinometer, sauce, sausage
n|spéculum, spéculī|n|mirror|speculate, speculation; sf. spectāre
indefinite pronoun|quis, quid after sī, nisi, nē, num|anyone, anything, someone, something|cf quis? quid?, quisque, and quisquis|indefinitePronoun
adj|cándidus, cándida, cándidum|shining, bright, white; beautiful|candid, candidate, candor, incandescent, candle, chandelier
adj|mérus, méra, mérum|pure, undiluted|mere, merely
adj|suā́vis, suā́ve|sweet|suave, suaveness, suasion, dissuade, persuade
enclitic conjunction|-ve|aut before the word, "or"|cf -que|conjunction
interj|heu|ah!, alas!|a sound of grief of pain; cf. "woe"|interjection
v|recū́sō, recūsā́re, recūsā́vī, recūsā́tum|to refuse|recuse, recusant, recusative; cf. causa
v|trā́dō, trā́dere, trā́didī, trā́ditum|to give over, surrender; hand down, transmit, teach|tradition, traitor, treason.  trāns + dō.
