fer	fer	2	sg	present	imperative	active	31
ferimini	feríminī	2	pl	present	indicative	passive	31
ferimur	férimur	1	pl	present	indicative	passive	31
ferimus	férimus	1	pl	present	indicative	active	31
fero	férō	1	sg	present	indicative	active	31
feror	féror	1	sg	present	indicative	passive	31
ferre	férre	n/a	n/a	present	infinitive	active	31
ferri	férrī	n/a	n/a	present	infinitive	passive	31
ferris	férris	2	sg	present	indicative	passive	31
fers	fers	2	sg	present	indicative	active	31
fert	fert	3	sg	present	indicative	active	31
ferte	férte	2	pl	present	imperative	active	31
fertis	fértis	2	pl	present	indicative	active	31
fertur	fértur	3	sg	present	indicative	passive	31
ferunt	férunt	3	pl	present	indicative	active	31
feruntur	ferúntur	3	pl		present	indicative	passive	31
laturus esse	lātū́rus ésse	n/a	n/a	future	infinitive	active	31
latus esse	lā́tus ésse	n/a	n/a	perfect	infinitive	passive	31
latum iri	lā́tum ī́rī	n/a	n/a	future	infinitive	passive	31
tulisse		tulísse		n/a	n/a	perfect	infinitive	active	31
